UF,População,epiweek,corredor baixo,corredor mediano,corredor alto,Unidade da Federação,Tipo
27,3375382,32,0.024273621809133974,0.03817404582710079,0.06003462467480796,Alagoas,Estado
27,3375382,33,0.0,0.0,0.0,Alagoas,Estado
27,3375382,34,0.030019871657351694,0.030201404084322408,0.030384034251563902,Alagoas,Estado
27,3375382,35,0.0,0.0,0.0,Alagoas,Estado
27,3375382,36,0.030108647052890364,0.030108647052890364,0.030108647052890364,Alagoas,Estado
27,3375382,37,0.03049441510034645,0.03049441510034645,0.03049441510034645,Alagoas,Estado
27,3375382,38,0.02199810057660057,0.042851968014098525,0.08347498713750724,Alagoas,Estado
27,3375382,39,0.030294446876415325,0.030294446876415325,0.030294446876415325,Alagoas,Estado
27,3375382,40,0.12376865657787091,0.12376865657787091,0.12376865657787091,Alagoas,Estado
27,3375382,41,0.06058889375283062,0.06058889375283062,0.06058889375283062,Alagoas,Estado
27,3375382,42,0.12376865657787091,0.12376865657787091,0.12376865657787091,Alagoas,Estado
27,3375382,43,0.030294446876415325,0.030294446876415325,0.030294446876415325,Alagoas,Estado
27,3375382,44,0.0,0.0,0.0,Alagoas,Estado
27,3375382,45,0.0,0.0,0.0,Alagoas,Estado
27,3375382,46,0.0602172941057807,0.0602172941057807,0.0602172941057807,Alagoas,Estado
27,3375382,47,0.0,0.0,0.0,Alagoas,Estado
27,3375382,48,0.0,0.0,0.0,Alagoas,Estado
27,3375382,49,0.0,0.0,0.0,Alagoas,Estado
27,3375382,50,0.03070991810586138,0.03070991810586138,0.03070991810586138,Alagoas,Estado
27,3375382,51,0.0,0.0,0.0,Alagoas,Estado
27,3375382,52,0.0,0.0,0.0,Alagoas,Estado
28,2288116,1,0.0,0.0,0.0,Sergipe,Estado
28,2288116,2,0.0,0.0,0.0,Sergipe,Estado
28,2288116,3,0.0,0.0,0.0,Sergipe,Estado
28,2288116,4,0.0,0.0,0.0,Sergipe,Estado
28,2288116,5,0.0,0.0,0.0,Sergipe,Estado
28,2288116,6,0.04554435063320311,0.04554435063320311,0.04554435063320311,Sergipe,Estado
28,2288116,7,0.0,0.0,0.0,Sergipe,Estado
28,2288116,8,0.0,0.0,0.0,Sergipe,Estado
28,2288116,9,0.0,0.0,0.0,Sergipe,Estado
28,2288116,10,0.0,0.0,0.0,Sergipe,Estado
28,2288116,11,0.0,0.0,0.0,Sergipe,Estado
28,2288116,12,0.0,0.0,0.0,Sergipe,Estado
28,2288116,13,0.0,0.0,0.0,Sergipe,Estado
28,2288116,14,0.0,0.0,0.0,Sergipe,Estado
28,2288116,15,0.04716865435376113,0.04716865435376113,0.04716865435376113,Sergipe,Estado
28,2288116,16,0.0,0.0,0.0,Sergipe,Estado
28,2288116,17,0.0,0.0,0.0,Sergipe,Estado
28,2288116,18,0.044584399829330906,0.044584399829330906,0.044584399829330906,Sergipe,Estado
28,2288116,19,0.04716865435376113,0.04716865435376113,0.04716865435376113,Sergipe,Estado
28,2288116,20,0.0,0.0,0.0,Sergipe,Estado
28,2288116,21,0.0,0.0,0.0,Sergipe,Estado
28,2288116,22,0.0,0.0,0.0,Sergipe,Estado
28,2288116,23,0.0,0.0,0.0,Sergipe,Estado
28,2288116,24,0.0,0.0,0.0,Sergipe,Estado
28,2288116,25,0.0,0.0,0.0,Sergipe,Estado
28,2288116,26,0.0,0.0,0.0,Sergipe,Estado
