UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2011 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
25,40,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,17.0,23.0,4.0,0.0,3.0000000000000004,3.0000000000000004,0.0,0.0,0.0,3.0,0.0,0.0,6
25,41,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,18.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6
25,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,19.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6
25,43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,20.0,23.0,4.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6
25,44,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,3.0000000000000004,3.0000000000000004,21.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
25,45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,22.0,23.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6
25,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,23.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
25,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,24.0,23.0,4.0,0.9690903312758369,1.8171205928321397,3.4072440332239613,0.0,0.0,2.0,3.0,0.0,1.0,6
25,48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,1.0,1.0,25.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
25,49,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,26.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,0.0,6
25,50,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,1.0,1.0,27.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6
25,51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,28.0,23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6
25,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,29.0,23.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,6
