UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,mediana pré-epidêmica,limiar pré-epidêmico,se relativa ao início do surto,se típica do início do surto,IC da se típica do início do surto,duração típica do surto,IC da duração típica do surto,limiar pós-epidêmico,intensidade baixa,intensidade alta,intensidade muito alta,corredor baixo,corredor mediano,corredor alto,População,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2014 transladado,n.seasons,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015
13,11,0.0,0.2585510740355255,0.0,0.11139005036222653,0.0,0.0,0.0,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0743561700045655,0.16970567803707967,0.3873251830514752,3938336,0.01132630855694329,0.06089358152323264,0.3273818872304579,0.14363948557529194,0.025814825609236338,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,12,0.0,0.14363948557529194,0.0,0.055695025181113265,0.0,0.0,0.10156573740787987,0.0,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.05424618228198735,0.09331378892079088,0.16051753020129605,3938336,0.08074595249457509,0.13341115283021726,0.2204263514097921,0.17236738269035035,0.10325930243694537,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,13,0.0,0.17236738269035035,0.0,0.11139005036222653,0.0,0.0,0.050782868703939936,0.0761743030559099,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.04920396177652198,0.09916069741957581,0.19983845929716335,3938336,0.14714064461146906,0.16339462521524806,0.18144411165064575,0.17236738269035035,0.15488895365541802,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,14,0.0,0.2585510740355255,0.0,0.0,0.0,0.025814825609236338,0.0,0.10156573740787987,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.008542051454535429,0.08169731260762404,0.7813639291254824,3938336,0.18540400072381752,0.23107489499827272,0.28799598115470126,0.2585510740355255,0.2065186048738907,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,15,0.0,0.17236738269035035,0.0,0.0,0.0,0.05162965121847268,0.10156573740787987,0.10156573740787987,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.04879810153728382,0.09668679583700432,0.1915717250205734,3938336,0.05757305218835272,0.10547077705307638,0.19321686777673033,0.14363948557529194,0.07744447682770901,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,16,0.0,0.14363948557529194,0.0,0.027847512590556633,0.026261049008107048,0.0,0.050782868703939936,0.2285229091677297,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0221933075411482,0.04805874081058875,0.10406932648579231,3938336,0.0,0.17236738269035035,0.17236738269035035,0.17236738269035035,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,17,0.0,0.05745579423011678,0.0,0.0,0.0,0.12907412804618168,0.025391434351969968,0.17774004046378974,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.022842818710381303,0.057317436124206395,0.14382150143140723,3938336,0.22015702129292006,0.3056833531978963,0.42443485051509827,0.2585510740355255,0.3614075585293087,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,18,0.0,0.05745579423011678,0.0,0.0,0.0,0.07744447682770901,0.025391434351969968,0.050782868703939936,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.025155717028241136,0.04834339791850215,0.09290469119536145,3938336,0.052748933292721095,0.11553744749913637,0.2530648667440964,0.17236738269035035,0.07744447682770901,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,19,0.0,0.0,0.0,0.027847512590556633,0.0,0.12907412804618168,0.0761743030559099,0.10156573740787987,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.026887742827282783,0.06493487857371925,0.1568200976359077,3938336,0.03159419988436061,0.08611652885162732,0.23472841751324647,0.14363948557529194,0.05162965121847268,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,20,0.0,0.11491158846023355,0.028261464899119286,0.0,0.0,0.025814825609236338,0.0761743030559099,0.17774004046378974,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.025446129696434602,0.06090886466096487,0.14579387272428893,3938336,0.0,0.05745579423011677,0.05745579423011677,0.05745579423011678,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,21,0.0,0.0,0.0,0.0,0.026261049008107048,0.10325930243694537,0.0,0.050782868703939936,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.013611518001320506,0.0520739628013806,0.1992208070823915,3938336,0.04978528420359194,0.0667055764151086,0.08937648937938288,0.05745579423011678,0.07744447682770901,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,22,0.0,0.0,0.0,0.0,0.0,0.15488895365541802,0.0,0.10156573740787987,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.0,0.15488895365541802,0.15488895365541802,3938336,0.0,0.0,0.0,0.0,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
13,23,0.0,0.02872789711505839,0.0,0.0,0.026261049008107048,0.2065186048738907,0.050782868703939936,0.10156573740787987,,0.12695717175984983,,,,,,0.06104543209967443,0.07936902315058315,0.25391434351969966,0.5078286870393993,0.02086082657768118,0.05303628307628442,0.13483872808555025,3938336,0.0,0.11491158846023354,0.11491158846023354,0.11491158846023355,0.0,2,0.15279674608282393,5.98 vez(es) maior,1.69 vez(es) maior,5.41 vez(es) menor,1.37 vez(es) menor,1.94 vez(es) menor,2.37 vez(es) maior,1.50 vez(es) menor
