UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,n.seasons
31,22,4.0,12.0,9.0,59.0,92.0,74.0,35.0,180.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,18.473078149109934,41.72885060443628,94.26133309847233,1.0,21.0,10.0,49.64950512144717,98.1195265179563,193.90810564089887,82.0,192.0,60.0,3
31,23,5.0,11.0,4.0,60.0,150.0,62.0,45.0,144.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,12.07658803626952,39.8456889897995,131.46750773509575,2.0,21.0,10.0,65.13411988786004,115.44315462615755,204.61045567183425,95.0,205.0,79.0,3
31,24,8.0,8.0,6.0,61.0,177.0,60.0,31.0,130.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,13.859913741600403,41.32315375716773,123.20444905174053,3.0,21.0,10.0,56.59868491024143,105.78370514350215,197.71117105695433,109.0,181.0,60.0,3
31,25,45.0,20.0,8.0,68.0,192.0,46.0,35.0,123.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,16.073595937972833,44.17181055498325,121.38844694334178,4.0,21.0,10.0,70.79792895899496,112.77355649943566,179.63625818627264,96.0,180.0,83.0,3
31,26,24.0,17.0,17.0,64.0,205.0,55.0,23.0,117.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,20.78808674760124,48.98855804430482,115.44491075096876,5.0,21.0,10.0,68.33493226557479,113.98768718972134,190.1398362460566,101.0,188.0,78.0,3
31,27,14.0,13.0,22.0,82.0,181.0,48.0,23.0,104.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,23.564841691692255,51.44898796092942,112.32828961193724,6.0,21.0,10.0,82.00850843158233,110.67447848922079,149.3606020048505,87.0,147.0,106.0,3
31,28,35.0,8.0,11.0,95.0,180.0,41.0,25.0,105.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,17.346667535528876,45.396516878776715,118.80343821106312,7.0,21.0,10.0,57.972638758759814,90.0567543264497,139.8973580202789,70.0,141.0,74.0,3
31,29,94.0,16.0,31.0,109.0,188.0,34.0,19.0,68.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,22.829771276947337,52.80021753397457,122.11523881757493,8.0,21.0,10.0,65.1928737529146,93.36863743789776,133.7217084500721,72.0,133.0,85.0,3
31,30,176.0,17.0,22.0,96.0,147.0,38.0,21.0,62.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,22.120205619535906,47.73125220310186,102.99508404496993,9.0,21.0,10.0,55.67954368072377,98.144102870687,172.99468155710977,73.0,175.0,74.0,3
31,31,344.0,15.0,23.0,101.0,141.0,32.0,20.0,48.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,21.131277463880416,46.162535993920585,100.84481324105873,10.0,21.0,10.0,44.902009034577645,79.46666059837102,140.6384765945271,57.0,142.0,62.0,3
31,32,509.0,10.0,25.0,87.0,133.0,38.0,15.0,43.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,20.119787876872557,43.99842714235305,96.21679924499591,11.0,21.0,10.0,53.1720123971887,75.72104569319978,107.83260783966112,67.0,108.0,60.0,3
31,33,607.0,12.0,40.0,70.0,175.0,40.0,21.0,38.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,26.34951458031688,52.831759332144614,105.92964760780357,12.0,21.0,10.0,38.07209280435417,71.02227694802951,132.48979636616463,59.0,132.0,46.0,3
31,34,686.0,15.0,42.0,72.0,142.0,58.0,20.0,38.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,29.211481405725845,54.8865109313525,103.12825427699747,13.0,21.0,10.0,46.588226897453815,72.37529095866716,112.43576092478445,61.0,113.0,55.0,3
31,35,912.0,13.0,27.0,73.0,108.0,29.0,9.0,26.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,15.137166224564025,35.39567325801716,82.76672573993588,14.0,21.0,10.0,27.983939379237825,57.58402334670401,118.49367238316489,34.0,117.0,48.0,3
31,36,759.0,17.0,35.0,57.0,132.0,36.0,12.0,31.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,19.056470309218884,40.850757640737086,87.57048775265261,15.0,21.0,10.0,27.904567230087327,53.37130975772203,102.07994561490285,36.0,103.0,41.0,3
31,37,591.0,8.0,45.0,67.0,113.0,29.0,11.0,31.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,18.6472395399776,40.47914107016534,87.87149745491575,16.0,21.0,10.0,26.572729931819886,42.62005271626293,68.35838463709655,33.0,69.0,34.0,3
31,38,296.0,4.0,43.0,59.0,117.0,43.0,3.0,29.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,9.639219077357236,32.856341805948865,111.99446637800852,17.0,21.0,10.0,33.66481113832124,49.6043440524118,73.09088825004896,44.0,73.0,38.0,3
31,39,190.0,10.0,50.0,61.0,103.0,32.0,8.0,19.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,16.30982989538036,38.11319930019683,89.0638326833787,18.0,21.0,10.0,23.005989509971357,39.15563493945902,66.64193891106807,28.0,67.0,32.0,3
31,40,122.0,6.0,34.0,34.0,69.0,29.0,14.0,10.0,91.44711266341301,9.97 vez(es) maior,3.81 vez(es) menor,1.83 vez(es) menor,1.19 vez(es) maior,2.24 vez(es) maior,1.16 vez(es) maior,1.69 vez(es) menor,78.26828786576009,88.4443779013461,77.31052618712569,145.44387095094763,192.31051940134287,19.312550051285825,31.773612276585638,52.27494217085937,19.0,21.0,10.0,24.51996467255176,42.66661241312545,74.24316629826612,28.0,73.0,38.0,3
