"Sigla","Ano","Total","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+"
"RJ",2012,16273984,1066224,1152339,1280702,1309447,1251848,1302389,1321306,1237351,1145939,1114466,1042364,888114,703373,499314,365378,270941,178884,92498,51107
"RJ",2013,16369179,1052291,1130990,1256325,1318652,1265262,1276390,1328521,1254864,1157957,1110621,1059086,913347,730833,529447,371083,278010,182689,98015,54796
"RJ",2014,16461173,1039689,1111142,1228193,1323865,1280726,1255047,1330081,1271040,1171940,1108349,1071919,937220,757873,560210,380605,284690,186736,103071,58777
"RJ",2015,16550024,1028195,1092832,1198464,1323473,1294883,1243566,1324786,1284732,1186912,1110081,1080153,959460,784849,589728,395448,290648,191342,107457,63015
"RJ",2016,16635996,1017525,1076073,1174542,1310962,1308133,1241109,1312123,1296487,1203134,1115498,1084034,980131,811377,618244,415076,296138,196518,111343,67549
"RJ",2017,16718956,1007396,1060864,1151870,1291946,1320106,1248043,1290440,1307104,1220721,1124711,1083288,999482,837197,645566,439540,300981,202457,114786,72458
"RJ",2018,16798421,997589,1047121,1130600,1267546,1329441,1261708,1265057,1314705,1238516,1137098,1080327,1016524,862048,671913,467183,306749,208727,118038,77531
"RJ",2019,16874306,987944,1034697,1110826,1239343,1334750,1277390,1244266,1316698,1254986,1151402,1078880,1029806,885620,697906,495412,315737,214671,121462,82510
"RJ",2020,16946541,978373,1023368,1092583,1209511,1334401,1291747,1233241,1311878,1268991,1166679,1081309,1038631,907655,723853,522586,329194,220041,125247,87253
"RJ",2021,17014734,968851,1012825,1075860,1185405,1321870,1305118,1231064,1299643,1281001,1183120,1087260,1043212,928182,749387,548919,346656,225057,129409,91895
"RJ",2022,17078778,959400,1002787,1060645,1162511,1302764,1317146,1238106,1278352,1291796,1200839,1096837,1043274,947437,774267,574246,368154,229604,134096,96517
"RJ",2023,17138897,950060,993070,1046889,1141015,1278248,1326542,1251816,1253370,1299592,1218750,1109480,1041185,964485,798258,598763,392314,234912,138997,101151
"RJ",2024,17195010,940846,983514,1034451,1121016,1249920,1331909,1267514,1232920,1301824,1235333,1123978,1040526,977936,821068,622996,416988,242760,143658,105853
"RJ",2025,17247068,931750,974029,1023101,1102551,1219967,1331623,1281893,1222144,1297291,1249476,1139415,1043579,987114,842454,647204,440818,254108,147905,110646
"RJ",2026,17294738,922757,964586,1012542,1085603,1195700,1319200,1295301,1220140,1285415,1261651,1155984,1050020,992230,862441,671067,463994,268573,151923,115611
"RJ",2027,17337930,913875,955210,1002494,1070166,1172629,1300217,1307378,1227285,1264568,1272639,1173796,1059929,993034,881254,694356,486393,286161,155662,120884
"RJ",2028,17376801,905093,945945,992766,1056199,1150947,1275841,1316841,1241037,1240045,1280658,1191784,1072775,991772,898003,716856,508165,305810,159980,126284
"RJ",2029,17411225,896350,936804,983199,1043546,1130765,1247671,1322307,1256752,1219999,1283164,1208455,1087401,991859,911366,738303,529732,325869,166114,131569
"RJ",2030,17441020,887536,927778,973697,1031993,1112110,1217886,1322151,1271147,1209527,1278970,1222719,1102921,995471,920701,758463,551290,345303,174709,136648
"SP",2000,37799568,3372041,3306004,3417378,3672081,3580144,3349583,3134558,2948028,2623919,2182689,1711515,1260074,1033167,810657,636199,399069,213695,101952,46815
"SP",2001,38323392,3391771,3305385,3389453,3669549,3628022,3393668,3164232,2982364,2687920,2261690,1792632,1317977,1055848,830605,651659,421591,225092,102882,51052
"SP",2002,38835718,3396789,3311298,3369253,3643564,3677408,3441998,3197586,3010309,2747755,2339946,1872098,1388534,1076233,855579,662931,446207,237558,106410,54262
"SP",2003,39336185,3385852,3323934,3355672,3602178,3722849,3493159,3234625,3034684,2802642,2416449,1950321,1467838,1098940,883370,672681,470834,251294,111720,57143
"SP",2004,39824526,3357779,3343337,3345416,3558347,3756379,3545261,3274959,3059748,2851545,2489796,2028552,1549701,1130837,910481,684642,492750,266684,118257,60055
"SP",2005,40300493,3311995,3368932,3336619,3520698,3773498,3596591,3318089,3088272,2894084,2559047,2107346,1630190,1175746,935274,700864,510779,283690,125640,63139
"SP",2006,40763876,3262511,3385559,3332264,3488973,3771362,3647820,3364759,3120120,2930517,2624187,2185881,1709714,1232431,958500,720933,525592,302130,133834,66789
"SP",2007,41214356,3213821,3387487,3334531,3464967,3745269,3700322,3415578,3155541,2960648,2685278,2263740,1787727,1301016,979636,745359,537123,322221,142797,71295
"SP",2008,41651651,3165935,3373480,3343584,3447642,3703365,3748600,3469147,3194552,2987232,2741548,2339927,1864617,1377861,1002911,772191,547482,342379,152642,76556
"SP",2009,42075716,3118982,3342358,3359463,3433753,3658703,3784651,3523572,3236780,3014445,2791949,2413060,1941573,1457180,1034629,798357,559654,360550,163592,82465
"SP",2010,42486692,3073135,3293563,3381602,3421462,3620000,3803993,3577155,3281731,3045023,2836090,2482213,2019122,1535284,1078321,822410,575269,375826,175592,88901
"SP",2011,42888198,3028995,3241663,3395338,3414031,3587200,3804049,3630843,3330336,3078922,2874362,2547572,2096586,1612644,1132936,845158,594117,388822,188654,95970
"SP",2012,43281358,2987095,3191482,3395300,3413868,3562065,3779963,3685864,3383156,3116347,2906515,2609261,2173636,1688791,1198647,866243,616735,399608,203035,103747
"SP",2013,43663669,2947378,3142818,3380081,3421108,3543511,3739514,3736334,3438518,3157128,2935061,2666376,2249238,1764033,1272095,889391,641451,409710,217638,112286
"SP",2014,44035304,2909839,3095771,3348463,3435899,3528470,3695782,3774250,3494540,3200908,2964069,2717820,2322070,1839498,1347965,920208,665677,421318,231060,121697
"SP",2015,44396484,2874406,3050488,3299865,3457746,3515297,3657519,3795112,3549530,3247202,2996184,2763134,2391227,1915670,1422865,961828,688201,435621,242672,131917
"SP",2016,44749699,2841127,3007247,3248414,3471622,3507418,3624994,3796446,3604391,3296932,3031378,2802604,2456760,1991836,1497174,1013276,709684,452438,252903,143055
"SP",2017,45094866,2809738,2966241,3198567,3471690,3507130,3600193,3773618,3660446,3350727,3069949,2835987,2518709,2067628,1570436,1074667,729815,472143,261848,155334
"SP",2018,45429330,2779776,2927354,3150195,3456471,3514416,3581970,3734488,3711972,3407028,3111787,2865803,2576201,2142068,1642946,1143015,751783,493424,270474,168159
"SP",2019,45752757,2750916,2890588,3103414,3424662,3529367,3567272,3692076,3751020,3463971,3156543,2896035,2628145,2213858,1715729,1213594,780361,514259,280167,180780
"SP",2020,46064928,2722887,2855868,3058380,3375632,3551343,3554503,3655091,3773118,3519878,3203759,2929270,2674093,2282119,1789226,1283369,818209,533716,291669,192798
"SP",2021,46363573,2695318,2823002,3015097,3323239,3564868,3546522,3623149,3775254,3575253,3254045,2965271,2714180,2346806,1862688,1352644,864439,552367,304865,204566
"SP",2022,46648199,2667964,2791778,2973731,3271996,3564116,3545703,3598195,3752749,3631359,3308002,3004289,2748142,2407936,1935767,1421014,919111,570031,320033,216283
"SP",2023,46920368,2640853,2761983,2934458,3222087,3547867,3552564,3579748,3713963,3682908,3364380,3046443,2778572,2464756,2007586,1488789,979716,589261,336244,228190
"SP",2024,47179720,2613959,2733309,2897278,3173684,3514789,3567156,3564793,3671846,3722010,3421336,3091398,2809336,2516189,2076909,1556880,1042251,613833,352091,240673
"SP",2025,47426003,2587247,2705487,2862130,3126983,3464291,3588748,3551753,3635077,3744225,3477209,3138711,2842953,2561788,2142897,1625673,1104154,645818,366945,253914
"SP",2026,47657463,2560685,2678100,2828884,3082038,3410234,3601815,3543574,3603396,3746671,3532566,3189045,2879245,2601721,2205521,1694491,1165714,684470,381280,268013
"SP",2027,47873759,2534427,2650902,2797326,3039026,3357153,3600494,3542627,3578731,3724730,3588670,3242995,2918456,2635729,2264808,1763006,1226609,729793,395039,283238
"SP",2028,48076120,2508687,2623951,2767205,2998112,3305329,3583569,3549336,3560486,3686576,3640224,3299262,2960656,2666293,2319992,1830387,1287081,779795,410044,299135
"SP",2029,48264305,2483480,2597217,2738205,2959303,3254993,3549740,3563727,3545670,3645054,3679408,3356042,3005540,2697160,2370028,1895483,1347906,831338,428954,315057
"SP",2030,48437934,2458696,2570661,2710050,2922555,3206361,3498468,3585042,3532690,3608787,3701800,3411705,3052685,2730728,2414485,1957502,1409378,882424,453179,330738
"PR",2000,9665334,913429,946383,941284,954053,876915,814995,793406,738860,627521,523853,417311,326395,263734,204342,149334,92558,48310,22402,10249
"PR",2001,9786066,907091,944101,939271,954779,890637,821207,796637,752648,647948,541958,434616,338326,270675,210314,154308,97261,50697,22503,11089
"PR",2002,9903412,899222,939814,939637,950127,906033,829433,798056,763638,669459,559386,452670,351769,277719,216773,159096,102285,53435,23223,11637
"PR",2003,10017462,890666,933051,941384,942433,921026,839514,798890,772089,690875,576686,471177,366510,285324,223577,163897,107434,56496,24350,12083
"PR",2004,10128262,882329,923305,942735,935543,932503,851079,800905,778530,710392,594768,489728,382200,294158,230494,168985,112463,59877,25739,12529
"PR",2005,10235875,875404,909899,942445,931833,938627,863689,805232,783425,726878,614087,508073,398594,304600,237444,174511,117267,63551,27301,13015
"PR",2006,10340390,859664,903694,940462,930586,939812,877472,811668,786691,740560,634398,526088,415708,316508,244529,180430,121943,67486,29073,13618
"PR",2007,10441872,844563,895962,936483,931698,935678,892926,820100,788153,751473,655768,543455,433565,329842,251728,186780,126519,71702,31084,14393
"PR",2008,10540407,830087,887540,930041,934181,928542,907994,830369,789024,759876,677041,560707,451875,344413,259460,193434,131137,76049,33321,15316
"PR",2009,10636065,816284,879334,920621,936279,922209,919594,842106,791050,766282,696445,578726,470240,359900,268324,200194,135994,80346,35775,16362
"PR",2010,10728961,803186,872536,907538,936757,919038,925905,854878,795357,771155,712868,597957,488418,376077,278662,206992,141201,84503,38429,17504
"PR",2011,10820421,790866,857041,901706,935587,918474,927486,868987,801911,774535,726627,618210,506328,392961,290365,213920,146737,88591,41284,18805
"PR",2012,10910374,779316,842272,894386,932386,920368,923928,884935,810639,776284,737778,639570,523657,410552,303393,220967,152637,92624,44371,20311
"PR",2013,10997465,768412,828105,886311,926596,923564,917357,900501,821245,777501,746496,660848,540879,428560,317541,228486,158790,96691,47572,22010
"PR",2014,11081692,758051,814587,878411,917710,926284,911562,912613,833355,779921,753279,680324,558853,446605,332522,237007,165030,100938,50755,23885
"PR",2015,11163018,748103,801746,871895,905056,927250,908891,919457,846531,784660,758592,696906,578010,464467,348123,246830,171298,105435,53852,25916
"PR",2016,11242720,738585,789685,856685,899572,926500,908809,921554,861010,791621,762416,710876,598153,482064,364377,257863,177692,110193,56923,28142
"PR",2017,11320892,729485,778399,842192,892581,923741,911171,918516,877276,800695,764598,722286,619358,499116,381316,270075,184221,115250,60010,30606
"PR",2018,11396262,720682,767739,828289,884829,918405,914811,912487,893172,811624,766254,731318,640494,516085,398666,283309,191180,120517,63157,33244
"PR",2019,11468818,712149,757605,815027,877245,909987,917975,907220,905647,824048,769099,738459,659889,533792,416072,297319,199001,125869,66444,35971
"PR",2020,11538518,703891,747865,802439,871028,897822,919391,905053,912905,837526,774228,744157,676485,552646,433320,311921,207928,131266,69908,38739
"PR",2021,11604353,695842,738393,790434,855970,892588,918845,905179,915216,852102,781390,748276,690469,572401,450298,327118,217882,136779,73561,41610
"PR",2022,11666293,687934,729200,779015,841434,885657,916067,907443,912184,868236,790456,750652,701883,593113,466741,342939,228832,142430,77438,44639
"PR",2023,11725343,680184,720316,768222,827476,877977,910743,910969,906177,883997,801333,752497,710988,613760,483127,359157,240668,148457,81480,47815
"PR",2024,11781438,672561,711714,757955,814153,870463,902378,914005,900915,896370,813676,755489,718248,632734,500225,375444,253196,155179,85599,51134
"PR",2025,11834496,665044,703401,748079,801493,864301,890296,915303,898713,903570,827051,760711,724087,649021,518419,391600,266269,162784,89766,54588
"PR",2026,11883701,657534,695291,738489,789432,849360,885109,914687,898818,905900,841545,767939,728393,662823,537475,407535,279895,171211,94048,58217
"PR",2027,11929009,649994,687308,729200,777978,834946,878250,911888,901077,902970,857609,777055,731015,674174,557444,423016,294099,180441,98465,62080
"PR",2028,11971132,642471,679486,720220,767143,821109,870646,906557,904577,897082,873296,787939,733109,683305,577353,438464,308677,190391,103178,66129
"PR",2029,12009993,634964,671796,711519,756827,807906,863206,898190,907578,891918,885629,800251,736316,690654,595681,454586,323335,200921,108406,70310
"PR",2030,12045491,627451,664214,703107,746899,795357,857126,886112,908839,889774,892836,813579,741681,696622,611475,471730,337891,211927,114272,74599
"SC",2000,5454144,498681,526685,530720,539861,483904,458263,457910,445343,373736,307576,236442,174287,139426,106229,79867,51125,27046,11844,5199
"SC",2001,5539977,491560,525745,531174,545559,496619,461702,458263,452754,388750,320387,249376,183073,143678,109745,82037,53417,28504,12051,5583
"SC",2002,5626501,484097,523811,532918,547232,512266,466487,458587,457113,404987,332590,262694,193375,147816,113914,84096,55915,30099,12603,5901
"SC",2003,5713792,476823,520629,535396,546378,529005,473077,459320,459199,421164,344719,276195,204870,152351,118489,86255,58496,31812,13383,6231
"SC",2004,5801932,470320,515919,537587,545615,543967,482102,460968,460342,435304,357653,289624,217036,158040,123088,88807,61003,33641,14310,6606
"SC",2005,5890979,465280,509330,538772,546563,555387,493817,463906,461459,446207,371833,302830,229506,165331,127530,91910,63370,35576,15340,7032
"SC",2006,5980986,459664,503313,539030,548763,563313,508194,468224,462460,454117,387054,315695,242342,174070,131909,95521,65654,37636,16463,7564
"SC",2007,6072000,454887,496916,538266,552230,567143,525552,473921,463404,458951,403458,327962,255550,184246,136185,99691,67852,39863,17687,8236
"SC",2008,6164049,450889,490678,536221,556427,568358,544028,481466,464738,461479,419769,340155,268933,195559,140825,104207,70127,42157,19001,9032
"SC",2009,6257173,447637,485188,532611,560321,569588,560719,491498,466972,463022,434026,353133,282241,207514,146529,108729,72721,44390,20398,9936
"SC",2010,6351418,445098,481150,527088,563192,572470,573810,504280,470486,464509,445042,367319,295324,219768,153718,113104,75754,46512,21863,10931
"SC",2011,6446209,443152,476417,522000,564877,576441,583253,519774,475390,465883,453095,382545,308097,232377,162260,117420,79200,48586,23423,12019
"SC",2012,6540596,441651,472280,516272,565080,581327,588299,538202,481659,467219,458120,398961,320322,245355,172145,121649,83112,50623,25115,13205
"SC",2013,6634254,440532,468675,510434,563570,586530,590373,557602,489732,468923,460870,415294,332506,258512,183095,126210,87310,52735,26873,14478
"SC",2014,6727148,439722,465575,505086,560116,590983,592109,575003,500257,471491,462644,429624,345487,271615,194659,131732,91505,55100,28608,15832
"SC",2015,6819190,439113,462960,500940,554423,593927,595146,588539,513487,475294,464365,440776,359680,284529,206513,138593,95568,57801,30284,17252
"SC",2016,6910553,438584,460841,495974,549016,595414,599100,598222,529394,480458,465965,449004,374899,297162,218710,146684,99587,60823,31947,18769
"SC",2017,7001161,438051,459178,491607,542961,595391,603962,603428,548221,486994,467516,454239,391268,309279,231273,156002,103548,64213,33607,20423
"SC",2018,7090682,437451,457911,487775,536801,593618,609124,605615,567990,495357,469434,457222,407550,321370,244020,166298,107807,67834,35335,22170
"SC",2019,7179056,436755,456960,484463,531139,589867,613526,607421,585731,506194,472211,459233,421867,334236,256727,177165,112910,71453,37248,23950
"SC",2020,7266193,435965,456211,481642,526688,583855,616398,610508,599559,519755,476223,461176,433076,348280,269263,188317,119178,74971,39394,25734
"SC",2021,7351785,435085,455517,479289,521394,578086,617727,614433,609416,535951,481558,462963,441400,363305,281543,199796,126517,78463,41774,27568
"SC",2022,7435729,434118,454789,477374,516669,571637,617471,619189,614685,554997,488232,464666,446767,379426,293337,211621,134920,81927,44420,29484
"SC",2023,7518134,433032,453997,475860,512478,565089,615450,624242,616888,574951,496733,466723,449920,395452,305125,223630,144180,85651,47234,31499
"SC",2024,7598890,431798,453108,474662,508803,559048,611432,628536,618667,592838,507710,469629,452107,409561,317660,235614,153951,90072,50049,33645
"SC",2025,7677890,430396,452123,473675,505616,554224,605148,631286,621702,606771,521405,473752,454212,420652,331321,247452,163987,95438,52796,35934
"SC",2026,7754883,428803,451053,472746,502913,548548,599100,632495,625573,616709,537731,479197,456152,428946,345917,259068,174326,101680,55535,38391
"SC",2027,7829737,427019,449882,471790,500659,543438,592363,632108,630288,622038,556886,485971,458008,434375,361548,270258,184990,108787,58276,41053
"SC",2028,7902540,425057,448589,470771,498811,538865,585525,629941,635296,624279,576926,494560,460212,437655,377073,281460,195828,116598,61223,43871
"SC",2029,7973192,422928,447143,469654,497290,534816,579193,625761,639544,626074,594882,505605,463242,439990,390766,293366,206657,124835,64695,46751
"SC",2030,8041587,420635,445528,468439,495981,531260,574075,619305,642249,629107,608875,519349,467462,442233,401569,306329,217363,133303,68867,49658
"RS",2000,10266739,877450,904770,916120,970274,861138,783499,795931,821103,741273,634732,518143,400890,326168,263202,201449,129346,72317,33977,14957
"RS",2001,10365992,872241,901392,907780,968606,882650,789036,786717,820479,758338,653553,537947,416533,333507,268467,206839,135464,75263,35057,16123
"RS",2002,10459249,863612,896814,903637,956429,907296,798410,778387,814255,775342,671674,557298,434555,341243,274224,211659,142063,78563,36505,17283
"RS",2003,10546778,852489,890550,902356,937974,931167,811329,772053,804211,790538,689242,576291,454188,350022,280459,216205,148741,82268,38208,18487
"RS",2004,10628806,839861,882085,901339,920215,948463,827295,769058,793172,801283,706561,595181,474256,360760,287096,220890,154985,86469,40094,19743
"RS",2005,10705605,826928,870786,898845,907560,955761,845588,770220,783126,806091,723664,614085,494009,373945,294158,225968,160568,91157,42103,21043
"RS",2006,10777424,805702,865313,895231,899009,953502,866241,775378,773921,805403,740421,632666,513489,389360,301691,231410,165664,96234,44312,22477
"RS",2007,10844476,786142,856449,890424,894618,940833,889970,784294,765562,799184,757094,650559,532551,407012,309588,237277,170332,101693,46769,24125
"RS",2008,10906958,768131,845116,883946,893051,921968,912919,796682,759146,789188,771972,667902,551279,426188,318442,243555,174794,107232,49496,25951
"RS",2009,10965071,751616,832293,875285,891735,903817,929360,812043,756001,778194,782463,684998,569912,445795,329096,250171,179365,112465,52541,27921
"RS",2010,11019030,736518,819186,863810,888941,890736,935908,829668,756936,768162,787111,701877,588557,465128,341997,257155,184232,117219,55890,29999
"RS",2011,11069861,722801,797873,858209,885115,881843,933149,849705,761864,759016,786424,718441,606911,484207,356958,264552,189409,121631,59522,32231
"RS",2012,11118261,710420,778327,849308,880238,877261,920319,872952,770618,750814,780418,734977,624626,502888,373976,272267,194974,125757,63471,34650
"RS",2013,11164043,699242,760407,838016,873804,875617,901533,895574,782882,744615,770803,749814,641836,521249,392387,280828,200898,129759,67516,37263
"RS",2014,11207274,689091,744050,825313,865294,874348,883639,911914,798171,741732,760302,760431,658839,539519,411191,290988,207108,133858,71395,40091
"RS",2015,11247972,679752,729169,812411,854056,871742,870943,918640,815800,742954,750837,765413,675669,557810,429730,303150,213619,138187,74975,43115
"RS",2016,11286500,671105,715689,791356,848714,868182,862476,916253,835853,748134,742278,765220,692213,575843,448040,317154,220479,142773,78365,46373
"RS",2017,11322895,663013,703530,772055,840081,863604,858258,903890,859086,757052,734617,759826,708730,593281,466018,333010,227628,147677,81621,49918
"RS",2018,11356804,655263,692557,754370,829068,857498,856921,885625,881723,769423,728894,750903,723609,610243,483730,350127,235518,152869,84833,53630
"RS",2019,11388156,647708,682595,738236,816656,849344,855942,868236,898159,784775,726411,741098,734399,627025,501380,367623,244784,158290,88123,57372
"RS",2020,11416895,640270,673429,723564,804049,838494,853630,855988,905099,802434,727950,732285,739721,643657,519068,384913,255768,163946,91575,61055
"RS",2021,11442766,632849,664921,710240,783291,833496,850328,847833,902966,822447,733337,724305,740004,660011,536519,402027,268327,169886,95210,64769
"RS",2022,11465705,625353,656935,698191,764252,825200,845974,843796,890886,845569,742345,717143,735226,676335,553411,418876,282468,176077,99082,68586
"RS",2023,11485875,617781,649287,687314,746815,814551,840135,842607,872956,868110,754738,711853,727015,691091,569873,435525,297693,182875,103168,72488
"RS",2024,11503184,610131,641835,677437,730911,802523,832289,841764,855885,884519,770058,709720,717932,701917,586188,452141,313269,190779,107421,76465
"RS",2025,11517560,602425,634497,668351,716440,790313,821785,839601,843900,891533,787647,711509,709784,707486,602372,468807,328697,200058,111842,80513
"RS",2026,11528820,594659,627170,659919,703296,769991,817123,836473,835970,889591,807561,717053,702425,708219,618308,485273,344018,210600,116479,84692
"RS",2027,11536938,586853,619767,652012,691414,751377,809194,832325,832124,877821,830552,726139,695832,704098,634225,501246,359158,222404,121318,89079
"RS",2028,11542054,579062,612286,644436,680686,734350,798941,826714,831089,860259,852978,738535,691032,696678,648660,516843,374165,235081,126612,93647
"RS",2029,11544082,571304,604729,637051,670946,718827,787325,819123,830385,843548,869361,753794,689288,688400,659373,532326,389171,248059,132717,98355
"RS",2030,11542948,563562,597117,629779,661983,704706,775543,808890,828365,831870,876473,771278,691355,681000,665109,547713,404237,260951,139815,103202
"MS",2000,2125821,215522,224577,219216,220084,196875,181179,168954,158635,132603,106801,81992,63481,51645,38770,27678,17763,9997,5024,5025
"MS",2001,2163050,215735,224985,219884,221961,201836,184230,171104,161777,137859,111403,85837,65794,53022,40303,28686,18465,10390,5080,4699
"MS",2002,2200183,216221,224675,221276,222111,207579,187245,173592,164008,143379,115956,89988,68440,54313,41953,29724,19236,10829,5218,4440
"MS",2003,2237147,217221,223470,223062,221217,213438,190433,176365,165654,148826,120544,94373,71404,55656,43637,30826,20055,11310,5412,4244
"MS",2004,2273874,218985,221195,224669,220418,218383,194135,179293,167251,153691,125318,98870,74660,57254,45234,32031,20911,11830,5641,4105
"MS",2005,2310307,221895,217590,225685,220419,221792,198504,182304,169147,157679,130334,103413,78176,59227,46695,33358,21795,12382,5898,4014
"MS",2006,2346398,220955,217788,226091,221089,223686,203516,185388,171317,160829,135558,107977,81971,61529,48069,34785,22714,12976,6183,3977
"MS",2007,2382080,219862,218268,225777,222477,223845,209306,188443,173820,163070,141040,112493,86066,64144,49369,36311,23666,13625,6501,3997
"MS",2008,2417300,218606,219270,224569,224258,222952,215209,191674,176605,164735,146445,117044,90388,67056,50720,37870,24676,14313,6846,4064
"MS",2009,2452039,217219,221037,222294,225863,222146,220189,195425,179546,166346,151276,121781,94826,70246,52303,39356,25774,15031,7216,4165
"MS",2010,2486257,215715,223950,218698,226878,222130,223624,199841,182569,168254,155246,126753,99315,73688,54227,40725,26969,15776,7605,4294
"MS",2011,2520305,214124,223040,218936,227309,222821,225586,204946,185699,170471,158412,131949,103833,77409,56456,42033,28248,16550,8027,4456
"MS",2012,2554130,212450,221992,219486,227052,224266,225851,210867,188845,173062,160719,137411,108317,81422,58979,43295,29608,17359,8490,4659
"MS",2013,2587269,210672,220761,220558,225899,226103,225046,216892,192183,175933,162468,142804,112833,85647,61777,44611,30991,18214,8983,4894
"MS",2014,2619657,208767,219383,222388,223677,227755,224310,221985,196040,178966,164169,147634,117526,89980,64832,46136,32317,19132,9503,5157
"MS",2015,2651235,206704,217876,225351,220131,228810,224351,225527,200571,182083,166173,151622,122445,94360,68120,47960,33554,20117,10038,5442
"MS",2016,2682386,204543,216286,224483,220413,229282,225098,227574,205776,185308,168473,154821,127577,98759,71672,50048,34749,21166,10598,5760
"MS",2017,2713147,202359,214617,223472,221010,229067,226598,227907,211778,188540,171134,157177,132964,103132,75498,52393,35915,22278,11190,6118
"MS",2018,2743142,200173,212834,222277,222130,227955,228484,227172,217878,191963,174076,158998,138284,107539,79525,54986,37131,23412,11815,6510
"MS",2019,2772343,198012,210916,220938,224007,225778,230183,226505,223047,195905,177181,160772,143060,112122,83660,57816,38520,24503,12489,6929
"MS",2020,2800704,195897,208836,219458,227013,222284,231285,226613,226664,200516,180368,162846,147029,116921,87843,60860,40160,25535,13208,7368
"MS",2021,2827912,193810,206612,217845,226148,222545,231719,227343,228719,205734,183619,165172,150210,121910,92035,64134,42017,26537,13966,7837
"MS",2022,2853969,191712,204339,216097,225082,223064,231389,228739,228996,211680,186820,167817,152549,127122,96194,67650,44078,27526,14770,8345
"MS",2023,2879162,189612,202067,214235,223824,224111,230169,230515,228202,217713,190207,170731,154367,132271,100394,71353,46346,28561,15594,8890
"MS",2024,2903465,187520,199826,212241,222410,225918,227895,232101,227465,222811,194107,173802,156140,136897,104762,75154,48822,29729,16390,9475
"MS",2025,2926854,185459,197637,210087,220853,228842,224315,233090,227493,226362,198665,176951,158199,140744,109337,79003,51484,31090,17149,10094
"MS",2026,2949104,183413,195471,207792,219168,227914,224479,233423,228151,228366,203827,180167,160512,143844,114089,82868,54354,32618,17896,10752
"MS",2027,2970213,181380,193293,205450,217352,226776,224916,233010,229480,228609,209714,183344,163134,146147,119051,86714,57437,34308,18643,11455
"MS",2028,2990397,179374,191115,203112,215418,225442,225881,231711,231188,227786,215681,186702,166018,147954,123954,90603,60683,36160,19427,12188
"MS",2029,3009638,177401,188949,200805,213352,223944,227607,229355,232709,227022,220718,190561,169051,149717,128365,94648,64019,38179,20307,12929
"MS",2030,3027926,175460,186820,198549,211127,222305,230448,225707,233635,227013,224219,195066,172158,151755,132043,98882,67401,40352,21319,13667
"MT",2000,2560993,267981,279274,275817,274473,253665,232478,213135,189677,155049,119570,89639,67661,51737,36626,24463,14317,7836,3798,3797
"MT",2001,2611854,269069,279131,276817,277126,259317,236975,217077,195011,161963,125810,94345,70649,53816,38378,25669,15110,8114,3888,3589
"MT",2002,2662431,270488,278255,278196,278403,265232,241669,220979,199790,168902,132260,99378,73927,55885,40290,26884,16016,8439,3988,3450
"MT",2003,2712685,272470,276498,279689,278786,271005,246601,224925,204140,175692,138882,104724,77515,58029,42302,28143,16996,8825,4108,3355
"MT",2004,2762537,275238,273703,280853,279073,276017,251825,229021,208265,182088,145631,110359,81436,60372,44326,29497,18004,9287,4249,3293
"MT",2005,2811904,279159,269606,281371,279755,279895,257339,233339,212304,187943,152448,116264,85697,62992,46313,30973,19016,9828,4412,3250
"MT",2006,2860741,277887,270693,281236,280753,282585,263083,237881,216267,193272,159300,122407,90291,65885,48299,32575,20048,10444,4603,3232
"MT",2007,2908961,276420,272130,280363,282117,283876,269081,242624,220190,198055,166175,128760,95204,69054,50280,34320,21094,11150,4822,3246
"MT",2008,2956496,274731,274139,278607,283595,284247,274919,247607,224155,202413,172899,135287,100422,72517,52337,36157,22183,11912,5082,3287
"MT",2009,3003310,272853,276937,275817,284743,284509,279978,252886,228270,206543,179240,141934,105924,76299,54582,38003,23356,12700,5387,3349
"MT",2010,3049348,270814,280882,271732,285244,285149,283879,258454,232606,210587,185044,148654,111692,80408,57080,39826,24633,13496,5741,3427
"MT",2011,3094547,268633,279628,272827,285078,286089,286571,264253,237163,214558,190337,155410,117689,84833,59828,41651,26015,14311,6146,3527
"MT",2012,3138822,266324,278166,274268,284157,287381,287843,270289,241925,218493,195100,162188,123895,89562,62827,43479,27514,15144,6612,3655
"MT",2013,3182113,263892,276468,276278,282341,288775,288174,276154,246925,222476,199450,168823,130266,94579,66097,45377,29091,16014,7118,3815
"MT",2014,3224357,261321,274568,279066,279482,289826,288374,281228,252221,226605,203579,175087,136754,99869,69659,47442,30677,16945,7644,4010
"MT",2015,3265486,258579,272491,282990,275326,290216,288937,285128,257809,230958,207630,180833,143317,105412,73519,49726,32247,17954,8177,4237
"MT",2016,3305531,255724,270268,281713,276351,289928,289793,287803,263625,235533,211611,186079,149921,111179,77676,52230,33823,19044,8728,4502
"MT",2017,3344544,252844,267922,280215,277740,288887,290999,289058,269670,240311,215559,190816,156553,117147,82118,54961,35413,20225,9294,4812
"MT",2018,3382487,249971,265450,278474,279706,286961,292301,289371,275540,245322,219553,195153,163047,123280,86833,57935,37070,21472,9889,5159
"MT",2019,3419350,247140,262831,276530,282455,284006,293263,289549,280616,250629,223694,199276,169187,129529,91808,61174,38869,22729,10530,5535
