Sigla,Sexo,Ano,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
,,2025,15742074,982413,1054203,1127620,1172764,1178563,1170694,1180370,1242211,1371362,1174972,954646,830604,703354,563597,410072,284542,177328,100558,62201
,,2026,15774088,967695,1037936,1108123,1153255,1167410,1164303,1171032,1215789,1359375,1219015,985286,845570,720550,582542,427172,295400,184181,104191,65263
,,2027,15802419,953394,1022163,1089357,1133510,1154282,1157932,1163324,1196081,1329733,1264957,1019868,859358,737860,600517,445659,306299,191901,107561,68663
,,2028,15826769,939571,1006729,1071335,1113840,1139407,1150914,1157002,1181845,1289338,1306214,1057878,874099,754958,617690,464889,317617,200243,110941,72259
,,2029,15847159,926264,991562,1054057,1094463,1123126,1142833,1151626,1170227,1249534,1332906,1098586,893033,771275,634424,483872,329961,208821,114727,75862
,,2030,15863601,913449,976674,1037519,1075541,1105798,1134407,1145592,1159629,1217572,1339306,1140838,918060,786673,650957,502006,343638,217420,119142,79380
MG,M,2000,9051608,855458,880923,913176,956565,865717,740407,703438,674026,591842,480367,374674,288873,237955,185651,133464,82956,44568,20774,20774
,,2001,9162128,853395,875786,903434,954669,887489,757651,705536,680965,608509,499537,390890,298942,242736,190705,137994,86814,46475,21166,19435
,,2002,9269515,849196,870848,896016,945428,908070,779607,707448,685538,624233,518950,407632,310882,247263,196049,142477,90938,48639,21913,18388
,,2003,9373794,843024,866039,890400,931532,925582,804501,710848,688418,638492,538224,424902,324364,252189,201510,146978,95199,51059,22901,17632
,,2004,9474943,835014,861236,885348,917307,937494,829536,718139,690596,650563,556851,442772,338852,258449,206818,151583,99442,53751,24052,17140
,,2005,9572930,825672,855942,880110,905553,942384,852690,730667,692885,660087,574447,461215,353987,266583,211888,156346,103592,56699,25313,16870
,,2006,9667744,811171,854031,875007,895868,940435,874292,747952,695240,667222,591038,480043,369759,276451,216799,161295,107710,59869,26720,16842
,,2007,9759393,797100,849995,870101,888489,931227,894727,769893,697401,672035,606728,499117,386048,288057,221495,166510,111827,63264,28306,17073
,,2008,9847911,783419,843986,865328,882888,917432,912139,794735,701025,675183,620997,518066,402857,301108,226563,171836,115981,66782,30067,17519
,,2009,9933341,770188,836126,860562,877841,903321,924017,819724,708480,677630,633133,536400,420249,315114,232843,177032,120230,70308,32005,18138
,,2010,10015751,757473,826918,855304,872607,891662,928961,842854,721095,680174,642778,553750,438197,329744,240823,182017,124612,73783,34110,18889
,,2011,10094337,745268,812482,853386,867501,882020,927044,864321,738292,682695,650025,570121,456503,344953,250356,186847,129136,77232,36362,19793
,,2012,10169087,733578,798388,849295,862608,874663,917877,884513,759969,684940,654945,585607,475039,360628,261428,191464,133863,80658,38762,20862
,,2013,10240897,722454,784657,843213,857882,869123,904206,901733,784516,688617,658243,599739,493486,376795,273789,196385,138658,84091,41229,22081
,,2014,10309807,711864,771351,835266,853190,864182,890266,913500,809209,696061,660856,611815,511383,393521,287003,202341,143314,87565,43683,23437
,,2015,10375827,701754,758525,825962,848020,859119,878798,918415,832073,708577,663558,621480,528382,410787,300777,209752,147760,91110,46078,24900
,,2016,10438471,692064,746213,811454,846199,854217,869341,916559,853352,725654,666261,628859,544485,428421,315097,218514,152077,94760,48451,26493
,,2017,10497782,682780,734434,797319,842225,849525,862134,907536,873430,747185,668717,634015,559774,446300,329872,228630,156243,98582,50835,28246
,,2018,10554241,673862,723220,783547,836262,845005,856726,894048,890554,771523,672558,637582,573765,464107,345115,239880,160679,102461,53240,30107
,,2019,10607817,665249,712540,770190,828444,840523,851917,880282,902269,795991,680077,640462,585772,481406,360886,251890,165980,106235,55681,32023
,,2020,10658480,656902,702339,757305,819266,835570,846997,868956,907189,818652,692554,643404,595456,497862,377167,264407,172489,109849,58164,33952
,,2021,10706741,648785,692623,744986,804957,834000,842345,859772,905545,839859,709585,646396,602979,513508,393815,277429,180124,113375,60725,35933
,,2022,10752577,640830,683381,733259,791065,830337,837984,852947,896958,860005,731064,649210,608405,528417,410718,290883,188882,116810,63417,38005
,,2023,10795368,632950,674507,722100,777530,824693,833776,847890,883946,877234,755286,653364,612303,542101,427565,304769,198584,120473,66152,40145
,,2024,10835045,625118,665942,711480,764400,817203,829579,843414,870649,889115,779635,661098,615532,553906,443954,319139,208929,124806,68816,42330
,,2025,10871568,617335,657640,701340,751733,808361,824896,838805,859755,894286,802211,673665,618807,563503,459572,333976,219711,130066,71367,44539
,,2026,10905560,609631,649572,691684,739628,794440,823607,834489,850978,892967,823367,690657,622106,571046,474444,349151,230928,136182,73868,46815
,,2027,10937001,602025,641668,682499,728107,780937,820278,830476,844535,884795,843479,711963,625219,576600,488642,364561,242523,143146,76331,49217
,,2028,10965204,594520,633833,673685,717144,767774,814969,826597,839835,872251,860723,735940,629624,580703,501712,379927,254495,150830,78964,51678
,,2029,10990122,587127,626044,665184,706714,754996,807811,822714,835712,859426,872706,760042,637485,584158,513034,394893,266892,159009,82059,54116
,,2030,11011683,579838,618296,656955,696755,742661,799289,818334,831457,848974,878081,782419,650010,587646,522292,409177,279694,167535,85775,56495
,F,2000,9126434,825515,851870,880846,922501,835732,731853,707003,682635,597740,493811,393878,314117,266901,215373,164612,108922,65626,33749,33750
,,2001,9240480,822255,846610,871552,920525,855965,745895,708459,690661,615839,512908,410534,324713,272695,221607,170374,114207,68066,35105,32510
,,2002,9351206,816911,841506,864550,911335,875884,763991,709507,695757,633655,531982,427863,337089,278094,228266,175734,119995,70746,36515,31826
,,2003,9458637,809692,836452,859269,897609,893362,784860,711665,698662,650318,550933,445759,350985,283767,235090,180919,125998,73752,37990,31555
,,2004,9562759,800805,831297,854414,883691,905406,806452,717087,700544,664551,569682,464122,365937,290700,241656,186256,131834,77205,39535,31585
,,2005,9663573,790715,825634,849183,872392,910269,827209,727024,702324,675635,588090,482835,381631,299493,247787,191934,137310,81129,41152,31827
,,2006,9761090,776423,822488,843968,863215,908305,847308,741098,703920,683774,606101,501726,398067,309999,253603,197927,142495,85458,42904,32311
,,2007,9855349,762592,817258,838914,856304,899180,867110,759204,705106,689014,623839,520598,415171,322212,259061,204317,147373,90192,44833,33071
,,2008,9946367,749193,810152,833909,851086,885540,884507,780067,707393,692083,640442,539357,432835,335889,264787,210859,152128,95100,46989,34051
,,2009,10034219,736274,801372,828806,846276,871719,896508,801653,712918,694135,654646,557927,450963,350591,271703,217171,157023,99887,49446,35201
,,2010,10118991,723894,791380,823197,841085,860500,901380,822410,722935,696081,665742,576162,469444,366019,280368,223085,162214,104404,52208,36483
,,2011,10200148,712040,777136,820070,835887,851332,899371,842431,736987,697776,673903,593987,488086,382151,290634,228723,167693,108728,55277,37936
,,2012,10277753,700720,763286,814830,830838,844382,890151,862066,754959,698984,679163,611521,506692,398908,302481,234051,173547,112883,58687,39604
,,2013,10352459,689971,749839,807714,825865,839139,876456,879292,775660,701264,682267,627948,525189,416197,315696,239636,179557,116996,62275,41498
,,2014,10424290,679754,736845,798917,820818,834324,862596,891127,797067,706738,684351,642018,543504,433931,329867,246313,185386,121259,65830,43645
,,2015,10493274,670011,724358,788903,815287,829160,851349,895848,817634,716648,686305,653035,561495,452004,344716,254581,190879,125782,69239,46040
,,2016,10559089,660686,712405,774650,812264,824018,842160,893748,837495,730582,688020,661185,579109,470243,360238,264308,196151,130558,72559,48710
,,2017,10621754,651759,701007,760811,807150,819039,835171,884502,857008,748429,689273,666503,596455,488465,376365,275483,201181,135649,75808,51696
,,2018,10681629,643194,690177,747373,800169,814157,829885,870785,874118,768974,691579,669699,612716,506586,393010,287910,206454,140875,79063,54905
,,2019,10738675,634928,679877,734385,791515,809218,825039,856893,885850,790216,697033,671883,626673,524541,410085,301221,212689,145955,82442,58232
,,2020,10792876,626926,670047,721899,781645,803806,819865,845593,890491,810619,706865,673930,637646,542187,427491,315167,220317,150764,86010,61608
,,2021,10844685,619150,660695,709992,767597,800974,814830,836453,888431,830401,720724,675780,645837,559498,445075,329752,229222,155414,89767,65093
,,2022,10894064,611522,651801,698691,754009,796117,810053,829628,879360,849921,738507,677214,651295,576571,462671,344916,239396,159897,93769,68726
,,2023,10940482,603969,643271,687959,740817,789403,805360,824506,865843,867048,758953,679679,654678,592595,480182,360574,250662,164605,97878,72500
,,2024,10983892,596467,635046,677754,728075,781024,800605,819820,852155,878831,780092,685239,657074,606384,497545,376643,262714,170114,101884,76426
,,2025,11024248,589015,627085,668019,715822,771436,795378,814806,841045,883568,800404,695106,659332,617275,514625,393033,275344,176754,105703,80498
,,2026,11061914,581645,619340,658748,704135,757681,792734,809915,832066,881637,820092,708923,661382,625469,531387,409601,288551,184434,109423,84751
,,2027,11096875,574370,611736,649932,693038,744386,788087,805264,825367,872733,839505,726593,663004,631015,547927,426187,302285,193144,113056,89246
,,2028,11128706,567193,604206,641480,682499,731479,781585,800701,820355,859415,856557,746885,665635,634551,563469,442710,316473,202742,116884,93887
,,2029,11157357,560126,596729,633327,672480,719003,773419,796081,815777,845926,868322,767860,671301,637124,576872,459107,331044,212999,121313,98547
,,2030,11182785,553160,589307,625441,662924,706996,764038,790990,810879,834999,873111,788029,681190,639554,587501,475254,345916,223749,126575,103172
,Total,2000,18178042,1680973,1732793,1794022,1879066,1701449,1472260,1410441,1356661,1189582,974178,768552,602990,504856,401024,298076,191878,110194,54523,54524
,,2001,18402608,1675650,1722396,1774986,1875194,1743454,1503546,1413995,1371626,1224348,1012445,801424,623655,515431,412312,308368,201021,114541,56271,51945
,,2002,18620721,1666107,1712354,1760566,1856763,1783954,1543598,1416955,1381295,1257888,1050932,835495,647971,525357,424315,318211,210933,119385,58428,50214
,,2003,18832431,1652716,1702491,1749669,1829141,1818944,1589361,1422513,1387080,1288810,1089157,870661,675349,535956,436600,327897,221197,124811,60891,49187
,,2004,19037702,1635819,1692533,1739762,1800998,1842900,1635988,1435226,1391140,1315114,1126533,906894,704789,549149,448474,337839,231276,130956,63587,48725
,,2005,19236503,1616387,1681576,1729293,1777945,1852653,1679899,1457691,1395209,1335722,1162537,944050,735618,566076,459675,348280,240902,137828,66465,48697
,,2006,19428834,1587594,1676519,1718975,1759083,1848740,1721600,1489050,1399160,1350996,1197139,981769,767826,586450,470402,359222,250205,145327,69624,49153
,,2007,19614742,1559692,1667253,1709015,1744793,1830407,1761837,1529097,1402507,1361049,1230567,1019715,801219,610269,480556,370827,259200,153456,73139,50144
,,2008,19794278,1532612,1654138,1699237,1733974,1802972,1796646,1574802,1408418,1367266,1261439,1057423,835692,636997,491350,382695,268109,161882,77056,51570
,,2009,19967560,1506462,1637498,1689368,1724117,1775040,1820525,1621377,1421398,1371765,1287779,1094327,871212,665705,504546,394203,277253,170195,81451,53339
,,2010,20134742,1481367,1618298,1678501,1713692,1752162,1830341,1665264,1444030,1376255,1308520,1129912,907641,695763,521191,405102,286826,178187,86318,55372
,,2011,20294485,1457308,1589618,1673456,1703388,1733352,1826415,1706752,1475279,1380471,1323928,1164108,944589,727104,540990,415570,296829,185960,91639,57729
,,2012,20446840,1434298,1561674,1664125,1693446,1719045,1808028,1746579,1514928,1383924,1334108,1197128,981731,759536,563909,425515,307410,193541,97449,60466
,,2013,20593356,1412425,1534496,1650927,1683747,1708262,1780662,1781025,1560176,1389881,1340510,1227687,1018675,792992,589485,436021,318215,201087,103504,63579
,,2014,20734097,1391618,1508196,1634183,1674008,1698506,1752862,1804627,1606276,1402799,1345207,1253833,1054887,827452,616870,448654,328700,208824,109513,67082
,,2015,20869101,1371765,1482883,1614865,1663307,1688279,1730147,1814263,1649707,1425225,1349863,1274515,1089877,862791,645493,464333,338639,216892,115317,70940
,,2016,20997560,1352750,1458618,1586104,1658463,1678235,1711501,1810307,1690847,1456236,1354281,1290044,1123594,898664,675335,482822,348228,225318,121010,75203
,,2017,21119536,1334539,1435441,1558130,1649375,1668564,1697305,1792038,1730438,1495614,1357990,1300518,1156229,934765,706237,504113,357424,234231,126643,79942
,,2018,21235870,1317056,1413397,1530920,1636431,1659162,1686611,1764833,1764672,1540497,1364137,1307281,1186481,970693,738125,527790,367133,243336,132303,85012
,,2019,21346492,1300177,1392417,1504575,1619959,1649741,1676956,1737175,1788119,1586207,1377110,1312345,1212445,1005947,770971,553111,378669,252190,138123,90255
,,2020,21451356,1283828,1372386,1479204,1600911,1639376,1666862,1714549,1797680,1629271,1399419,1317334,1233102,1040049,804658,579574,392806,260613,144174,95560
,,2021,21551426,1267935,1353318,1454978,1572554,1634974,1657175,1696225,1793976,1670260,1430309,1322176,1248816,1073006,838890,607181,409346,268789,150492,101026
,,2022,21646641,1252352,1335182,1431950,1545074,1626454,1648037,1682575,1776318,1709926,1469571,1326424,1259700,1104988,873389,635799,428278,276707,157186,106731
,,2023,21735850,1236919,1317778,1410059,1518347,1614096,1639136,1672396,1749789,1744282,1514239,1333043,1266981,1134696,907747,665343,449246,285078,164030,112645
,,2024,21818937,1221585,1300988,1389234,1492475,1598227,1630184,1663234,1722804,1767946,1559727,1346337,1272606,1160290,941499,695782,471643,294920,170700,118756
,,2025,21895816,1206350,1284725,1369359,1467555,1579797,1620274,1653611,1700800,1777854,1602615,1368771,1278139,1180778,974197,727009,495055,306820,177070,125037
,,2026,21967474,1191276,1268912,1350432,1443763,1552121,1616341,1644404,1683044,1774604,1643459,1399580,1283488,1196515,1005831,758752,519479,320616,183291,131566
,,2027,22033876,1176395,1253404,1332431,1421145,1525323,1608365,1635740,1669902,1757528,1682984,1438556,1288223,1207615,1036569,790748,544808,336290,189387,138463
,,2028,22093910,1161713,1238039,1315165,1399643,1499253,1596554,1627298,1660190,1731666,1717280,1482825,1295259,1215254,1065181,822637,570968,353572,195848,145565
,,2029,22147479,1147253,1222773,1298511,1379194,1473999,1581230,1618795,1651489,1705352,1741028,1527902,1308786,1221282,1089906,854000,597936,372008,203372,152663
,,2030,22194468,1132998,1207603,1282396,1359679,1449657,1563327,1609324,1642336,1683973,1751192,1570448,1331200,1227200,1109793,884431,625610,391284,212350,159667
ES,M,2000,1604461,157224,156208,163513,171187,157260,137100,129357,121950,107114,86683,60467,44695,36418,29302,21792,12759,6717,3138,1577
,,2001,1628693,157119,155897,162025,171511,161136,140295,130298,123600,110100,90871,64656,46462,37088,29849,22495,13490,7002,3193,1606
,,2002,1653050,156619,155976,160790,170750,164941,144255,131228,124980,112972,94651,69393,48527,37828,30445,23095,14339,7316,3294,1651
,,2003,1677476,155581,156508,159821,169254,168384,148717,132409,126163,115665,98102,74407,50984,38711,31084,23632,15230,7681,3432,1711
,,2004,1701934,153872,157539,159068,167594,171073,153271,134212,127255,118082,101377,79295,53969,39849,31741,24163,16065,8124,3602,1783
,,2005,1726386,151404,159059,158523,166155,172784,157623,136852,128351,120168,104567,83808,57536,41305,32419,24720,16802,8645,3799,1866
,,2006,1750801,150139,159006,158290,164901,173501,161843,140261,129457,121958,107634,87969,61631,43065,33143,25309,17461,9243,4021,1969
,,2007,1775152,148797,158554,158451,163892,173123,165991,144436,130547,123478,110588,91737,66246,45106,33925,25937,18049,9931,4263,2101
,,2008,1799405,147407,157557,159067,163141,171993,169777,149117,131885,124798,113362,95187,71128,47513,34839,26597,18589,10652,4536,2260
,,2009,1823543,145995,155880,160186,162601,170677,172803,153901,133837,126020,115861,98464,75893,50414,35979,27269,19121,11338,4863,2441
,,2010,1847561,144581,153442,161795,162268,169560,174837,158493,136620,127237,118035,101654,80300,53867,37408,27956,19671,11954,5240,2643
,,2011,1871187,143181,152185,161806,162215,168576,175831,162926,140146,128441,119905,104720,84371,57812,39112,28680,20241,12512,5665,2862
,,2012,1894292,141804,150832,161379,162500,167764,175657,167243,144409,129608,121495,107677,88066,62244,41066,29453,20839,13019,6146,3091
,,2013,1917005,140467,149424,160382,163198,167147,174674,171162,149168,131010,122884,110464,91464,66927,43354,30344,21461,13489,6648,3338
,,2014,1939322,139179,147987,158680,164362,166686,173441,174281,154020,133017,124166,112987,94702,71505,46101,31430,22091,13951,7123,3613
,,2015,1961239,137942,146539,156200,165984,166378,172343,176361,158667,135840,125434,115194,97864,75751,49355,32769,22728,14422,7553,3915
,,2016,1982619,136731,145098,154894,165999,166329,171340,177369,163144,139403,126691,117106,100917,79688,53067,34349,23396,14905,7947,4246
,,2017,2003431,135524,143678,153495,165573,166628,170502,177203,167498,143697,127917,118746,103865,83278,57230,36152,24110,15411,8312,4612
,,2018,2023787,134320,142302,152040,164566,167347,169866,176218,171446,148483,129373,120186,106649,86590,61631,38255,24921,15936,8660,4998
,,2019,2043669,133121,140973,150552,162847,168535,169392,174975,174587,153361,131423,121518,109174,89755,65937,40771,25894,16467,9002,5385
,,2020,2063065,131928,139695,149049,160345,170174,169080,173860,176682,158035,134275,122834,111393,92845,69943,43742,27079,17001,9348,5757
,,2021,2082079,130752,138461,147563,159010,170220,169057,172867,177729,162569,137878,124147,113336,95836,73671,47126,28468,17561,9703,6125
,,2022,2100696,129609,137242,146113,157586,169827,169403,172066,177628,167004,142225,125446,115023,98737,77090,50918,30044,18159,10078,6498
,,2023,2118772,128486,136026,144708,156101,168843,170170,171464,176706,171027,147060,126969,116515,101481,80256,54923,31870,18832,10463,6872
,,2024,2136296,127380,134809,143350,154579,167139,171403,171025,175519,174241,151988,129076,117899,103976,83289,58845,34052,19631,10853,7242
,,2025,2153254,126283,133599,142044,153036,164646,173080,170751,174458,176405,156718,131972,119264,106178,86254,62503,36621,20592,11244,7606
,,2026,2169712,125206,132408,140780,151503,163299,173171,170771,173507,177516,161298,135596,120625,108114,89123,65920,39538,21710,11654,7973
,,2027,2185658,124157,131251,139528,150001,161855,172815,171164,172741,177475,165771,139943,121969,109803,91906,69064,42800,22970,12091,8354
,,2028,2200989,123131,130117,138278,148540,160343,171858,171978,172176,176614,169830,144769,123528,111306,94545,71986,46239,24426,12583,8742
,,2029,2215675,122128,128995,137031,147125,158785,170173,173254,171777,175481,173082,149689,125655,112702,96950,74792,49605,26162,13159,9130
,,2030,2229712,121143,127884,135792,145762,157202,167689,174968,171544,174471,175289,154412,128548,114078,99079,77539,52753,28200,13845,9514
,F,2000,1589794,150237,150416,156994,164419,151850,133955,126524,119731,105873,85474,63169,48522,41087,33293,25119,15912,9356,5053,2810
,,2001,1616158,150014,150090,155814,164597,155733,137138,127818,121495,109186,89733,67000,50442,41981,34309,26158,16884,9710,5123,2933
,,2002,1642572,149489,150084,154860,163794,159463,140968,129079,123019,112247,93873,71184,52711,42852,35376,27136,17972,10141,5247,3077
,,2003,1668964,148546,150441,154130,162351,162758,145236,130521,124374,115024,97856,75595,55347,43813,36458,28083,19114,10660,5418,3239
,,2004,1695290,147078,151188,153553,160830,165228,149610,132451,125666,117480,101657,80035,58374,45030,37498,29043,20231,11288,5633,3417
,,2005,1721514,145012,152320,153103,159606,166643,153843,135046,126981,119607,105253,84371,61789,46614,38472,30045,21278,12034,5889,3608
,,2006,1747580,143833,152270,152893,158594,167077,157922,138276,128301,121446,108607,88603,65564,48534,39416,31078,22274,12877,6188,3827
,,2007,1773462,142586,151907,153011,157805,166512,161843,142156,129586,123036,111704,92716,69676,50789,40328,32157,23217,13811,6537,4085
,,2008,1799119,141295,151118,153495,157238,165290,165321,146477,131049,124450,114508,96670,74006,53392,41322,33245,24133,14786,6946,4378
,,2009,1824532,139981,149798,154374,156825,163971,167959,150906,133001,125791,116986,100437,78361,56372,42553,34288,25058,15739,7427,4705
,,2010,1849682,138666,147872,155645,156541,162935,169521,155193,135616,127153,119125,103997,82610,59722,44129,35266,26009,16636,7986,5060
,,2011,1874390,137352,146801,155713,156466,162078,170063,159311,138853,128508,120970,107319,86757,63418,46023,36212,26987,17495,8618,5446
,,2012,1898582,136040,145613,155429,156667,161395,169557,163262,142723,129819,122562,110396,90790,67438,48235,37131,28012,18324,9324,5865
,,2013,1922361,134752,144348,154684,157199,160890,168361,166767,147031,131313,123979,113193,94682,71669,50779,38128,29048,19141,10074,6323
,,2014,1945727,133501,143025,153363,158102,160492,167036,169419,151453,133293,125330,115673,98407,75932,53686,39345,30047,19975,10816,6832
,,2015,1968672,132295,141665,151396,159365,160179,165959,170978,155746,135931,126703,117827,101941,80103,56950,40882,30989,20835,11532,7396
,,2016,1991078,131112,140287,150264,159409,160056,165040,171498,159885,139189,128073,119691,105252,84186,60545,42716,31903,21723,12231,8018
,,2017,2012925,129934,138909,149020,159096,160219,164297,170961,163858,143079,129405,121307,108321,88161,64451,44844,32792,22651,12914,8706
,,2018,2034292,128764,137555,147690,158315,160724,163730,169731,167376,147409,130918,122747,111114,92000,68561,47282,33753,23588,13592,9443
,,2019,2055183,127597,136240,146297,156951,161606,163280,168371,170034,151851,132913,124119,113594,95675,72703,50058,34914,24490,14285,10205
,,2020,2075592,126436,134970,144868,154936,162850,162923,167257,171591,156167,135562,125508,115751,99163,76760,53171,36358,25344,14997,10980
,,2021,2095565,125296,133737,143429,153760,162886,162783,166326,172120,160345,138842,126898,117629,102436,80734,56597,38064,26176,15728,11779
,,2022,2115100,124184,132523,141999,152474,162573,162952,165587,171615,164365,142766,128263,119267,105479,84610,60316,40035,26990,16494,12608
,,2023,2134101,123091,131315,140594,151100,161782,163469,165028,170414,167927,147132,129803,120731,108254,88356,64226,42282,27866,17267,13464
,,2024,2152553,122013,130113,139228,149661,160401,164362,164587,169075,170624,151605,131826,122125,110721,91945,68170,44834,28908,18010,14345
,,2025,2170447,120947,128917,137910,148180,158361,165614,164242,167982,172212,155955,134498,123535,112871,95351,72036,47690,30187,18715,15244
,,2026,2187874,119901,127745,136628,146688,157158,165664,164126,167068,172772,160168,137794,124946,114748,98553,75827,50831,31685,19404,16168
,,2027,2204806,118882,126600,135370,145206,155841,165362,164329,166344,172295,164222,141726,126331,116390,101532,79525,54234,33401,20084,17132
,,2028,2221142,117889,125476,134116,143751,154432,164574,164878,165804,171118,167812,146099,127891,117860,104249,83104,57811,35347,20816,18115
,,2029,2236871,116915,124372,132872,142335,152955,163186,165804,165386,169798,170541,150577,129924,119263,106672,86534,61417,37555,21673,19092
,,2030,2251959,115959,123278,131635,140962,151433,161133,167086,165070,168720,172157,154935,132595,120679,108786,89793,64953,40021,22710,20054
,Total,2000,3194255,307461,306624,320507,335606,309110,271055,255881,241681,212987,172157,123636,93217,77505,62595,46911,28671,16073,8191,4387
,,2001,3244851,307133,305987,317839,336108,316869,277433,258116,245095,219286,180604,131656,96904,79069,64158,48653,30374,16712,8316,4539
,,2002,3295622,306108,306060,315650,334544,324404,285223,260307,247999,225219,188524,140577,101238,80680,65821,50231,32311,17457,8541,4728
,,2003,3346440,304127,306949,313951,331605,331142,293953,262930,250537,230689,195958,150002,106331,82524,67542,51715,34344,18341,8850,4950
,,2004,3397224,300950,308727,312621,328424,336301,302881,266663,252921,235562,203034,159330,112343,84879,69239,53206,36296,19412,9235,5200
,,2005,3447900,296416,311379,311626,325761,339427,311466,271898,255332,239775,209820,168179,119325,87919,70891,54765,38080,20679,9688,5474
,,2006,3498381,293972,311276,311183,323495,340578,319765,278537,257758,243404,216241,176572,127195,91599,72559,56387,39735,22120,10209,5796
,,2007,3548614,291383,310461,311462,321697,339635,327834,286592,260133,246514,222292,184453,135922,95895,74253,58094,41266,23742,10800,6186
,,2008,3598524,288702,308675,312562,320379,337283,335098,295594,262934,249248,227870,191857,145134,100905,76161,59842,42722,25438,11482,6638
,,2009,3648075,285976,305678,314560,319426,334648,340762,304807,266838,251811,232847,198901,154254,106786,78532,61557,44179,27077,12290,7146
,,2010,3697243,283247,301314,317440,318809,332495,344358,313686,272236,254390,237160,205651,162910,113589,81537,63222,45680,28590,13226,7703
,,2011,3745577,280533,298986,317519,318681,330654,345894,322237,278999,256949,240875,212039,171128,121230,85135,64892,47228,30007,14283,8308
,,2012,3792874,277844,296445,316808,319167,329159,345214,330505,287132,259427,244057,218073,178856,129682,89301,66584,48851,31343,15470,8956
,,2013,3839366,275219,293772,315066,320397,328037,343035,337929,296199,262323,246863,223657,186146,138596,94133,68472,50509,32630,16722,9661
,,2014,3885049,272680,291012,312043,322464,327178,340477,343700,305473,266310,249496,228660,193109,147437,99787,70775,52138,33926,17939,10445
,,2015,3929911,270237,288204,307596,325349,326557,338302,347339,314413,271771,252137,233021,199805,155854,106305,73651,53717,35257,19085,11311
,,2016,3973697,267843,285385,305158,325408,326385,336380,348867,323029,278592,254764,236797,206169,163874,113612,77065,55299,36628,20178,12264
,,2017,4016356,265458,282587,302515,324669,326847,334799,348164,331356,286776,257322,240053,212186,171439,121681,80996,56902,38062,21226,13318
,,2018,4058079,263084,279857,299730,322881,328071,333596,345949,338822,295892,260291,242933,217763,178590,130192,85537,58674,39524,22252,14441
,,2019,4098852,260718,277213,296849,319798,330141,332672,343346,344621,305212,264336,245637,222768,185430,138640,90829,60808,40957,23287,15590
,,2020,4138657,258364,274665,293917,315281,333024,332003,341117,348273,314202,269837,248342,227144,192008,146703,96913,63437,42345,24345,16737
,,2021,4177644,256048,272198,290992,312770,333106,331840,339193,349849,322914,276720,251045,230965,198272,154405,103723,66532,43737,25431,17904
,,2022,4215796,253793,269765,288112,310060,332400,332355,337653,349243,331369,284991,253709,234290,204216,161700,111234,70079,45149,26572,19106
,,2023,4252873,251577,267341,285302,307201,330625,333639,336492,347120,338954,294192,256772,237246,209735,168612,119149,74152,46698,27730,20336
,,2024,4288849,249393,264922,282578,304240,327540,335765,335612,344594,344865,303593,260902,240024,214697,175234,127015,78886,48539,28863,21587
,,2025,4323701,247230,262516,279954,301216,323007,338694,334993,342440,348617,312673,266470,242799,219049,181605,134539,84311,50779,29959,22850
,,2026,4357586,245107,260153,277408,298191,320457,338835,334897,340575,350288,321466,273390,245571,222862,187676,141747,90369,53395,31058,24141
,,2027,4390464,243039,257851,274898,295207,317696,338177,335493,339085,349770,329993,281669,248300,226193,193438,148589,97034,56371,32175,25486
,,2028,4422131,241020,255593,272394,292291,314775,336432,336856,337980,347732,337642,290868,251419,229166,198794,155090,104050,59773,33399,26857
,,2029,4452546,239043,253367,269903,289460,311740,333359,339058,337163,345279,343623,300266,255579,231965,203622,161326,111022,63717,34832,28222
,,2030,4481671,237102,251162,267427,286724,308635,328822,342054,336614,343191,347446,309347,261143,234757,207865,167332,117706,68221,36555,29568
RJ,M,2000,7197139,672419,645190,621343,672880,664265,618262,578915,567912,514139,431657,340416,247320,206047,163126,121853,72711,35561,16046,7077
,,2001,7266213,666817,652229,620301,666546,668915,625611,581066,568953,523956,444868,354887,257435,207691,165297,124256,76322,37593,15692,7778
,,2002,7332889,657749,658740,623762,655831,673233,633453,585282,567660,533078,457905,368624,270514,208893,168100,126077,80127,39748,16025,8088
,,2003,7397126,645718,664125,630490,643315,676306,641275,591173,565318,541031,470562,381841,285500,210747,171194,127631,83835,42025,16790,8250
,,2004,7458980,631450,667744,638252,632999,676832,648399,597987,563893,547100,482567,394995,300784,214826,174058,129333,87093,44456,17820,8392
,,2005,7518558,615970,668822,645481,627380,674195,654328,605171,564612,550964,493713,408328,315379,221956,176500,131403,89767,47020,18999,8570
,,2006,7575981,603813,663214,652354,626071,668045,659414,612810,567280,552721,504055,421631,329428,231780,178672,133854,91995,49697,20292,8855
,,2007,7631321,592244,654148,658705,629262,657538,664144,620921,571949,552179,513741,434785,342825,244291,180461,136823,93815,52525,21674,9291
,,2008,7684666,581357,642126,663934,635727,645242,667616,628999,578250,550597,522301,447597,355765,258548,182825,140027,95452,55302,23142,9859
,,2009,7736116,571201,627874,667405,643251,635127,668537,636378,585445,549887,529037,459799,368667,273104,187142,143029,97203,57782,24711,10537
,,2010,7785800,561802,612410,668341,650265,629673,666301,642567,592987,551252,533623,471186,381758,287066,194147,145669,99223,59870,26367,11293
,,2011,7834113,553181,600288,662634,656974,628489,660609,647932,600979,554492,536131,481842,394859,300570,203538,148102,101565,61686,28105,12137
