Código,Sigla,UF,Região,Região oficial,Ano,Sexo,Total,0-4 anos,5-9 anos,10-19 anos,20-29 anos,30-39 anos,40-49 anos,50-59 anos,60+ anos
12,AC,Acre,RegN,N,2010,F,362900,43591,44057,79048,67294,51130,34453,22142,21185
12,AC,Acre,RegN,N,2010,M,371547,45369,45375,80920,69101,52264,35190,22811,20517
12,AC,Acre,RegN,N,2010,Total,734447,88960,89432,159968,136395,103394,69643,44953,41702
12,AC,Acre,RegN,N,2011,F,370119,43322,44098,80496,68047,53116,35765,23105,22170
12,AC,Acre,RegN,N,2011,M,378497,45104,45450,82447,69835,54192,36464,23667,21338
12,AC,Acre,RegN,N,2011,Total,748616,88426,89548,162943,137882,107308,72229,46772,43508
12,AC,Acre,RegN,N,2012,F,377258,43030,44053,81828,68738,55184,37125,24060,23240
12,AC,Acre,RegN,N,2012,M,385373,44815,45434,83908,70454,56239,37790,24499,22234
12,AC,Acre,RegN,N,2012,Total,762631,87845,89487,165736,139192,111423,74915,48559,45474
12,AC,Acre,RegN,N,2013,F,384306,42717,43935,83019,69450,57231,38545,25020,24389
12,AC,Acre,RegN,N,2013,M,392157,44503,45341,85263,71058,58297,39166,25328,23201
12,AC,Acre,RegN,N,2013,Total,776463,87220,89276,168282,140508,115528,77711,50348,47590
12,AC,Acre,RegN,N,2014,F,391256,42385,43759,84050,70300,59112,40028,26012,25610
12,AC,Acre,RegN,N,2014,M,398845,44169,45183,86478,71781,60213,40591,26196,24234
12,AC,Acre,RegN,N,2014,Total,790101,86554,88942,170528,142081,119325,80619,52208,49844
12,AC,Acre,RegN,N,2015,F,398092,42034,43529,84918,71354,60739,41573,27050,26895
12,AC,Acre,RegN,N,2015,M,405421,43815,44967,87532,72706,61881,42070,27127,25323
12,AC,Acre,RegN,N,2015,Total,803513,85849,88496,172450,144060,122620,83643,54177,52218
12,AC,Acre,RegN,N,2016,F,404807,41656,43262,85619,72590,62123,43182,28124,28251
12,AC,Acre,RegN,N,2016,M,411880,43433,44708,88405,73826,63329,43587,28118,26474
12,AC,Acre,RegN,N,2016,Total,816687,85089,87970,174024,146416,125452,86769,56242,54725
12,AC,Acre,RegN,N,2017,F,411402,41245,42972,86163,73999,63266,44845,29232,29680
12,AC,Acre,RegN,N,2017,M,418217,43014,44425,89075,75145,64567,45128,29165,27698
12,AC,Acre,RegN,N,2017,Total,829619,84259,87397,175238,149144,127833,89973,58397,57378
12,AC,Acre,RegN,N,2018,F,417864,40806,42661,86570,75485,64218,46570,30378,31176
12,AC,Acre,RegN,N,2018,M,424426,42562,44123,89541,76614,65622,46718,30272,28974
12,AC,Acre,RegN,N,2018,Total,842290,83368,86784,176111,152099,129840,93288,60650,60150
12,AC,Acre,RegN,N,2019,F,424193,40343,42331,86866,76906,65071,48384,31565,32727
12,AC,Acre,RegN,N,2019,M,430498,42082,43798,89803,78136,66557,48410,31424,30288
12,AC,Acre,RegN,N,2019,Total,854691,82425,86129,176669,155042,131628,96794,62989,63015
12,AC,Acre,RegN,N,2020,F,430389,39861,41982,87117,78123,65888,50287,32801,34330
12,AC,Acre,RegN,N,2020,M,436422,41585,43452,89898,79610,67415,50211,32617,31634
12,AC,Acre,RegN,N,2020,Total,866811,81446,85434,177015,157733,133303,100498,65418,65964
12,AC,Acre,RegN,N,2021,F,436448,39368,41612,86897,79577,66654,52268,34083,35989
12,AC,Acre,RegN,N,2021,M,442206,41076,43075,89730,81149,68181,52123,33856,33016
12,AC,Acre,RegN,N,2021,Total,878654,80444,84687,176627,160726,134835,104391,67939,69005
12,AC,Acre,RegN,N,2022,F,442365,38871,41208,86569,80915,67358,54326,35413,37705
12,AC,Acre,RegN,N,2022,M,447855,40562,42666,89446,82621,68836,54151,35144,34429
12,AC,Acre,RegN,N,2022,Total,890220,79433,83874,176015,163536,136194,108477,70557,72134
12,AC,Acre,RegN,N,2023,F,448142,38378,40774,86152,82111,68076,56364,36799,39488
12,AC,Acre,RegN,N,2023,M,453352,40053,42222,89062,83988,69472,56186,36476,35893
12,AC,Acre,RegN,N,2023,Total,901494,78431,82996,175214,166099,137548,112550,73275,75381
12,AC,Acre,RegN,N,2024,F,453774,37893,40313,85658,83147,68929,58240,38246,41348
12,AC,Acre,RegN,N,2024,M,458706,39553,41749,88589,85217,70225,58085,37856,37432
12,AC,Acre,RegN,N,2024,Total,912480,77446,82062,174247,168364,139154,116325,76102,78780
12,AC,Acre,RegN,N,2025,F,459262,37419,39832,85091,84019,69983,59867,39754,43297
12,AC,Acre,RegN,N,2025,M,463909,39062,41258,88038,86288,71171,59742,39288,39062
12,AC,Acre,RegN,N,2025,Total,923171,76481,81090,173129,170307,141154,119609,79042,82359
12,AC,Acre,RegN,N,2026,F,464609,36958,39339,84459,84727,71215,61251,41327,45333
12,AC,Acre,RegN,N,2026,M,468971,38584,40755,87411,87180,72307,61185,40758,40791
12,AC,Acre,RegN,N,2026,Total,933580,75542,80094,171870,171907,143522,122436,82085,86124
12,AC,Acre,RegN,N,2027,F,469824,36514,38843,83773,85280,72616,62398,42949,47451
12,AC,Acre,RegN,N,2027,M,473890,38123,40250,86723,87874,73634,62421,42251,42614
12,AC,Acre,RegN,N,2027,Total,943714,74637,79093,170496,173154,146250,124819,85200,90065
12,AC,Acre,RegN,N,2028,F,474904,36087,38351,83036,85697,74093,63353,44631,49656
12,AC,Acre,RegN,N,2028,M,478669,37681,39747,85980,88363,75108,63481,43792,44517
12,AC,Acre,RegN,N,2028,Total,953573,73768,78098,169016,174060,149201,126834,88423,94173
12,AC,Acre,RegN,N,2029,F,479850,35679,37867,82255,86006,75508,64207,46399,51929
12,AC,Acre,RegN,N,2029,M,483304,37256,39255,85188,88645,76636,64421,45426,46477
12,AC,Acre,RegN,N,2029,Total,963154,72935,77122,167443,174651,152144,128628,91825,98406
12,AC,Acre,RegN,N,2030,F,484661,35289,37395,81438,86267,76719,65022,48251,54280
12,AC,Acre,RegN,N,2030,M,487803,36851,38768,84360,88760,78115,65288,47170,48491
12,AC,Acre,RegN,N,2030,Total,972464,72140,76163,165798,175027,154834,130310,95421,102771
13,AM,Amazonas,RegN,N,2000,F,1415472,201210,187491,335617,265360,177219,115587,64594,68394
13,AM,Amazonas,RegN,N,2000,M,1457052,206334,193476,342637,270975,188988,123322,66496,64824
13,AM,Amazonas,RegN,N,2000,Total,2872524,407544,380967,678254,536335,366207,238909,131090,133218
13,AM,Amazonas,RegN,N,2001,F,1452635,202044,191529,340131,275775,183799,121351,67730,70276
13,AM,Amazonas,RegN,N,2001,M,1494092,207651,197374,347745,280763,195240,129253,69986,66080
13,AM,Amazonas,RegN,N,2001,Total,2946727,409695,388903,687876,556538,379039,250604,137716,136356
13,AM,Amazonas,RegN,N,2002,F,1489992,202713,195132,344323,286255,190670,127271,71248,72380
13,AM,Amazonas,RegN,N,2002,M,1531371,208924,200768,352555,290735,201573,135322,73905,67589
13,AM,Amazonas,RegN,N,2002,Total,3021363,411637,395900,696878,576990,392243,262593,145153,139969
13,AM,Amazonas,RegN,N,2003,F,1527397,203295,198111,348575,296416,197937,133250,75122,74691
13,AM,Amazonas,RegN,N,2003,M,1568730,210255,203460,357402,300518,208117,141447,78189,69342
13,AM,Amazonas,RegN,N,2003,Total,3096127,413550,401571,705977,596934,406054,274697,153311,144033
13,AM,Amazonas,RegN,N,2004,F,1564712,203934,200260,353435,305716,205727,139146,79296,77198
13,AM,Amazonas,RegN,N,2004,M,1606028,211813,205230,362771,309574,215049,147518,82730,71343
13,AM,Amazonas,RegN,N,2004,Total,3170740,415747,405490,716206,615290,420776,286664,162026,148541
13,AM,Amazonas,RegN,N,2005,F,1601846,204948,201262,359184,313824,214102,144888,83729,79909
